Borough,Neighborhood,Lat,Lng,ID,Name,Likes,Rating,Tips
Manhattan,Lower East Side,40.721385402295766,-73.98394925545875,40a55d80f964a52020f31ee3,Clinton St. Baking Co. & Restaurant,1668,9.1,932
Manhattan,Lower East Side,40.714581397158696,-73.98182855813101,4bde006d0ee3a593598c2fb0,Moishe's Bakery,5,6.1,6
Manhattan,Tribeca,40.71890887850094,-74.01033057718027,55aa9278498e32cd646a30e6,Maison Kayser,114,8.7,15
Manhattan,Tribeca,40.7200760835469,-74.00565061546854,4a01e214f964a52005711fe3,Grandaisy Bakery,170,8.5,94
Manhattan,Little Italy,40.71744962394581,-73.99837323694786,3fd66200f964a520bce61ee3,La Bella Ferrara,161,9.1,91
Manhattan,Little Italy,40.72159493364086,-73.99749153217225,49ee25b6f964a5202b681fe3,Eileen's Special Cheesecake,634,9.2,234
Manhattan,Little Italy,40.71676493044495,-73.99787389276216,482c4142f964a520d14f1fe3,Fay Da Bakery,132,8.6,56
Manhattan,Little Italy,40.7168862755231,-73.99803662360377,49eb223ff964a520a6661fe3,Tai Pan Bakery 大班,215,8.2,83
Manhattan,Little Italy,40.71651806515868,-73.99895204041454,4b79a8d0f964a52030092fe3,Lung Moon Bakery,98,8.8,42
Manhattan,Little Italy,40.71748255654752,-73.99953247138122,4a75cfdff964a52056e11fe3,Sweets Bakery,76,8.1,52
Manhattan,Soho,40.72159493364086,-73.99749153217225,49ee25b6f964a5202b681fe3,Eileen's Special Cheesecake,634,9.2,234
Manhattan,Soho,40.723515651165286,-74.00344360363695,53ab0af5498e13bffddb8d96,Pi Greek Bakerie,242,9.0,56
Manhattan,West Village,40.735885560699764,-74.00514884838778,3fd66200f964a5203be71ee3,Magnolia Bakery,1167,8.9,433
Manhattan,West Village,40.73442929959942,-74.00620482734881,512e5398e4b01d7d36f95f00,Sweet Corner Bakeshop,122,8.7,40
Manhattan,West Village,40.73482284737843,-74.0020456021696,551dc635498e1c00cdfd2a53,Dominique Ansel Kitchen,512,9.0,130
Manhattan,Manhattan Valley,40.80047662802329,-73.96799885744083,42659b80f964a52033211fe3,Silver Moon Bakery,161,9.0,79
Manhattan,Gramercy,40.74126115220162,-73.98128369181272,4a4bf8ccf964a520eeac1fe3,La Delice Pastry Shop,49,7.7,27
Manhattan,Battery Park City,40.70988976935566,-74.01159770226452,589fa21e06f1a341b56346f3,La Pasticceria di Eataly Downtown,10,8.2,0
Manhattan,Financial District,40.70988976935566,-74.01159770226452,589fa21e06f1a341b56346f3,La Pasticceria di Eataly Downtown,10,8.2,0
Queens,Astoria,40.76513213736737,-73.91769587859852,509eb60fe4b0872dbd6b1467,Leli's Bakery and Pastry Shop,92,8.8,19
Queens,Astoria,40.76558816210546,-73.91914421375938,59595e89f4b5252a6744f8c3,Chip,69,8.8,26
Queens,Astoria,40.766443220617624,-73.92034069362454,4f81cc8be4b0a6d0b766ce67,New York Bakery Café,12,8.4,10
Queens,Astoria,40.76526421474289,-73.9138315334348,4caefd2e562d224b09140a88,Vaccaro Bakery,8,7.6,3
Queens,Astoria,40.76740126221978,-73.92104404665905,4afc9262f964a520002422e3,Yaya's Bakery,7,7.7,3
Queens,Woodside,40.745836089217114,-73.90211547639107,5807f4fa38faea9879575f81,Fay Da Bakery,13,8.2,1
Queens,Woodside,40.745406837473084,-73.90342289449981,57c9da7b498ea48112562973,Rainbow Bakery,8,8.1,2
Queens,Woodside,40.745899237512155,-73.89901100952764,4b4f6549f964a520af0427e3,Red Ribbon,91,8.0,34
Queens,Woodside,40.745502433421564,-73.90593178470648,4b019669f964a520a84322e3,Rico Pan Bakery,14,7.6,10
Queens,Jackson Heights,40.750018002261626,-73.88129072062281,4c3fa103e26920a1e3c25be7,La Gran Uruguaya Bakery,73,7.9,19
Queens,Jackson Heights,40.755731001087646,-73.88420311978082,4b93dd4af964a520f85534e3,Seba Seba,20,8.2,17
Queens,Jackson Heights,40.75538822938919,-73.88642903564931,4be5c3682468c928f4820043,Variety Bakery,6,8.0,8
