Borough,Neighborhood,N_Lat,N_Lng,ID,Name,Category,Lat,Lng
Bronx,Eastchester,40.887555677350775,-73.82780644716412,4cc9bf5cdbc376b0228fa4bc,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),Bus Station,40.88461356066747,-73.83152944427044
Bronx,Fieldston,40.89543742690383,-73.90564259591682,5065d202e4b0de8be83dc0a3,Riverside Drive,River,40.896507486527454,-73.90826091791374
Bronx,Fieldston,40.89543742690383,-73.90564259591682,4bddf2af0ee3a593dc4b2fb0,Uptown Coffeehouse,Music Venue,40.892331,-73.905058
Bronx,Fieldston,40.89543742690383,-73.90564259591682,4c3881c3dfb0e21e3ca2aea8,Playground @ Briar Hill,Playground,40.892987544093614,-73.90854898437728
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4c268383136d20a15a83e561,Riverdale Ave,Plaza,40.890424929507866,-73.91024841803598
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4bf9ecdd5efe2d7fb20b6d34,Chase Bank,Bank,40.888089,-73.907921
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4bd784e2885595217acd87a7,Seton Park,Park,40.88791393116787,-73.91611321473175
Bronx,Riverdale,40.890834493891305,-73.9125854610857,5214c9fc498e6d72caea5e91,Windward Manor Inn,Hotel,40.8902,-73.9144
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4dd313bc813091d61fba0036,Park Lunch,Food Truck,40.888152518919604,-73.9146232432107
Bronx,Riverdale,40.890834493891305,-73.9125854610857,577dc4be498e0cae8de28910,Shallash Pest Control,Home Service,40.89466945869686,-73.91321539878845
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4debf073ae60e98923802c89,MTA BX7 238th Stop,Bus Station,40.88903574764659,-73.9080494858546
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4ce716cd0f196dcb7fe43bae,Hayden On Hudson Gym,Gym,40.888722,-73.917011
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4af8b2c0f964a520460f22e3,Garden Gourmet Market,Gourmet Shop,40.88135023917183,-73.90338943716417
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,55297008498e9286460da191,Leche y Miel,Latin American Restaurant,40.88370946311038,-73.90160581178267
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,58935fd798f8aa7c14662653,Kingsbridge Social Club,Pizza Place,40.88454548045115,-73.90196378126393
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4bd8e98811dcc928f865f833,El Malecon,Caribbean Restaurant,40.87933806746814,-73.90445707056641
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4bb114c4f964a520b9783ce3,Sam's Pizza,Pizza Place,40.87943501792795,-73.90585879861192
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4d9a37d4d97ba1430a07346b,Loeser's Delicatessen,Sandwich Place,40.879241887611094,-73.9054706858219
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,59b17fe23b4e0043787e1a7c,The Bronx Public,Pub,40.87837659295958,-73.90348117090952
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,55568a71498e3524400a356e,Smashburger,Burger Joint,40.8842208517097,-73.90033254824955
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4acec156f964a520d3d120e3,Bronx Alehouse,Beer Bar,40.88474887262718,-73.89969883486997
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,56310a2c498e97016b257476,BJ's  Wholesale Club,Warehouse Store,40.88410355664641,-73.90026731218994
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4ce81d330f196dcb5d2b43ae,Picante Picante Mexican Restaurant,Mexican Restaurant,40.878252,-73.902936
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,5217dd2811d2d06ccafb77d3,Estrellita Poblana V,Mexican Restaurant,40.879687039717524,-73.906256832975
